회사명,고용 형태,스킬,기업 소개,주요 업무,채용 절차,복리후생,회사위치,자격요건 및 우대사항,index
(주)더즌,정규직,"['금융사무', '신규 거래처 발굴', '금융상품', '서비스영업', '업무제휴']","""더즌은 우리나라에서 가장 행복한 회사를 꿈꿉니다.""

1. 향상된 기술과 품질로 고객의 다양한 니즈를 충족시키는 Total B2B Service Provider입니다.
2. 펌뱅킹, 가상계좌 등 PG 및 결제 서비스를 제공합니다.
3. 본인인증, 청구서, 알림톡 등 카카오페이와 제휴합니다.
4. 리얼마진, 아보카도, 더아파트 등 생활밀착형 서비스를 제공합니다.
5. 무인환전, 스크래핑, 메시징, 해외법인까지 사업을 확장 중입니다.
6. 창립 후 꾸준하게 재무적 성장을 이뤄내고 있습니다.
7. 구성원의 행복이 곧 회사의 성장이라 생각하며, 아낌없는복지를 제공합니다. 

주 35시간 근무, 리프레시휴가 12일 추가 제공, 사내 휴양리조트 이용, 근속 3년마다 안식월, 무제한 간식, 취미활동비 지원 등 더즌만의 다양한 혜택을 경험해보세요!",금융사카드사 은행 업무제휴 및 관리 유관기관 업무제휴 및 서비스영업  신규 서비스사업 발굴,"- 정규직 채용
수습평가 3개월 (급여 100%)

- 채용 전형
서류전형 ＞ 1차 인터뷰(비대면/직무역량) ＞ 온라인 인성검사 ＞ 2차 인터뷰(대면/문화적합) ＞ 처우 협의/레퍼런스 체크 ＞ 최종 합격

** 서류 제출 시 더즌에 지원한 사유를 꼭 포함하여 제출해주세요!
** 경우에 따라 채용전형이 생략/추가될 수 있습니다.","•더즌인의 특권!
- 집중근무 일 7시간 / 주 35시간
- 신논현역 초인접! 전망좋은 교보타워 오피스
- 여유로운 점심시간 1시간 30분
- 개별 법인카드 지급 (점심식대+교통비)
- 장비 구매비용 지원
- 교육비/도서비/취미활동비/체력단련운동비 지원
- 다양한 간식 무제한 제공

•눈치보지 않고 떠나는 30일 이상의 휴가
- 입사와 동시에 연차 사용 가능
- 신규 입사자는 입사축하 4일 더! 
- 연차 외 추가 유급 Refresh 휴가 12일
- 더즌만의 특별한 퇴근 Dozn Day 6일 
- 가족기념일에는 조기퇴근하는 Family Day
- 근속 매 3년 마다 30일의 유급 휴가와 휴가비 지급
- 근로자 휴가지원사업

•‍‍‍가화만사성
- 매년 직원 종합 건강검진 제공
- 행복한 생일, 백화점 상품권 지급
- 경조휴가 및 경조사비 지원
- 명절 선물 제공
- 사내 휴양리조트 운영
- 결혼 축하휴가 2주

•그 외에도,
- 아침 식사, 저녁식대 지원  
- 워크샵 지원
- 팀회식비 지원
- 사내동호회 
- 인재 추천 지원금
- 편하게 쉴 수 있는 사내 휴식 라운지
- 반바지도 샌들도 OK! 자율 복장



#핀테크 #설립4~9년 #리프레시휴가 #주35시간

","서울 서초구 강남대로 465, B동 16층", 금융사를 파트너로 한 업무 제휴 경험이 있는 분  ERP 업무 경험 또는 이해도가 높은 분  적극적인 성격 및 커뮤니케이션 능력을 보유한 분 PGVAN 업무 경험 또는 이해도가 높은 분 주도적으로 본인 의견을 제시하고 의사 결정하는데 능숙한 분,964
(주)씨알에스큐브,정규직,"['마케팅', '영업', '세일즈', '거래처발굴']","임상시험을 들어보셨나요? 임상시험이란, 안전하고 효과적인 신약 개발을 위해 사람을 대상으로 하는 연구로서, 씨알에스큐브는 임상시험 과정에서 가장 적합하고, 효율적인 솔루션을 제공하여  빠르고 정확한 임상시험을 가능하게 하는 IT회사입니다. 

현재 90여명의 직원이 근무중이며, 전세계 300개 이상의 고객사가 4,000건이 넘는 의료임상시험에서 저희 회사의 소프트웨어를 사용하고 있습니다.", 시장환경 및 경쟁사분석 등 통한 영업 마케팅 전략 수립 및 시행 신규 거래처 발굴 기존 거래처 제약사임상시험대행사 관리 영업지원,"• 서류전형 > 면접전형 > Reference Check > 채용검진 / 최종합격

01. 서류전형 합격 시, 02. 면접전형을 진행하며, 면접은 보통 1차만 진행되고 직무/인성면접입니다(약 4-50분 소요).
03. 지원자 분께 사전 동의를 받은 후, 이전 회사에서의 직무수행, 협업 등에 관련된 Referench check을 진행합니다.
04 최종합격 시, 처우제안을 드리며, 처우에 대해 합의가 되어 최종 확정이 되면 채용검진을 진행합니다.

※ 면접전형 후 평판조회를수행할수 있으며, 면접은수시로 진행되어 적합자가 있을경우 조기마감될 수 있습니다.","[자율성을 가지고 일해요.]
• 시차출퇴근제 : 8시~10시 출근 (휴게시간 제외, 8시간 근무 후 퇴근)
• 자유로운 휴가 사용 : 업무 스케줄에 맞춰 본인이 결정

[성장을 위해 함께 노력해요.]
• 자기계발비 지원 : 직무관련 도서 무제한 지원 / 직무관련 교육비 지원
• 정기 피드백

[직원의 삶을 존중해요.]
• 종합건강검진(매년, 본인 및 1촌 가족 1인)
• 언제든지 카페인, 간식 충전
• 3,5,8,10년차 휴가(비)지급
• 설, 추석 상여금/ 선물","서울 마포구 양화로 19, 4층(합정동, 합정오피스빌딩)", 소프트웨어 세일즈 관련 경험이 3년 이상이신 분 적극적인 성향을 보유하고 이해력이 빠르신 분 원활하게 내외부 커뮤니케이션이 가능하신 분 헬스케어임상시험 솔루션 관련 경험을 보유하신 분,971
녹원메디칼(주),정규직,"['영업지원', '영업관리', '바이오', '기술영업', '신규 거래처 발굴', '생명과학']",우리회사 키워드1 : 열정 우리회사 키워드2 : 신뢰 우리회사 키워드3 : 변화,생명과학 장비시약 소모품 기술영업새로운 비즈니스 기회 창출근무지  서울,서류전형-면접전형-최종합격,"4대보험 가입
퇴직연금
경조금지급 및 사우회 운영
연 평가 후 인센티브
장기근속 및 우수사원 포상
영업차량 및 차량유지비 지급",전북 전주시 완산구 원서곡길 66,대졸 이상관련업계 근무경력 2년 이상생명과학 전분야 및 유사학과 전공자운전면허증 이상연구실험 관련제품 및 LAB 컨설팅 업무 경력자연구참여 및 실험실 근무 경력자,1214
다큐브(주),정규직,"['영업기획', '영업', '영업관리', 'B2B영업', 'B2B', 'Sales', '세일즈', '솔루션영업', '팀관리']","
""일상을 넘어 업무를 편리하게""

다큐브는 사용자 중심의 업무용 AI 서비스를 제공하는 B2B 전문기업으로, 일하는 사람들에게 필요한 최적의 AI 업무 환경을 구축하고 있습니다.

다큐브의 AI 서비스는 기업이 가진 데이터를 기반으로 업무 중 사용자가 궁금해하는 질문에 바로 답변합니다. 챗GPT처럼 말이죠. 채팅하듯 타이핑으로 물어볼 수도 있고 말로써 궁금증을 해결할 수도 있어 사용자의 업무 편의성을 높이고 시간의 낭비를 줄입니다. 또한 각 분야별 업무에 최적화된 서비스를 제공하므로, 범용서비스에 비해 특정 분야에 전문적으로 사용되어 훨씬 더 높은 정확도를 가지며 사용자의 업무적 니즈를 충족시킵니다.

현재 SAP, Salesforce 등 글로벌 솔루션 1위 기업들과 제휴하여 업무용 AI 서비스를 제공하고 있으며, 다양한 분야의 기업 솔루션과 연계하여 모든 산업 현장에서 누구나 쉽게 일하는 업무 환경을 만들고자 합니다.

다큐브와 함께, 기업용 솔루션의 새로운 시장을 넓혀갈 열정적인 동료의 합류를 기다립니다.
당신의 커리어를 다큐브에서 성장시키세요 :)


#우리는 이렇게 일해요
- 수평적인 조직으로 직급에 큰 의미를 두지 않아요.
- 업무는 자율적으로, 책임감 있게 수행해요.
- 상대의 입장에서 상황을 이해하고 배려하며 협업합니다.
- 고객의 목소리에 집중해요.

#이런 인재와 함께하고 싶어요
- 일에 끌려다니지 않고 끌고가는 주도적인 리더십을 가진 분
- 실패한 경험을 가지고 성과를 창출한 경험이 있으신 분
- 현재에 만족하지 않고 계속 성장하길 원하는 분


[서비스 소개]
(유튜브) https://youtu.be/Mw_x4HYXHhI?feature=shared
(블로그) https://blog.naver.com/askavatar/223172030007
",잠재고객을 발굴하고 세일즈 전략을 성공적으로 이끌어 회사의 성장을 견인할 수 있는 B2B 세일즈 담당자를 모십니다 다양한 채널로 유입되는 고객사 인바운드 신규 고객 온보딩 및 계약 진행 서비스 제안서 작성,"• 서류 전형 ▶ 인터뷰 ▶ 연봉 협상 및 입사일 조정 ▶ 최종 합격
※ 채용절차는 변경될 수 있습니다.","for Work
• 넉넉한 점심시간 (1시간 30분)
• 적당한 근무시간 (7시간 30분)
• 식대(모바일식권) 제공
• 야근택시비 지원
• 고사양 IT 장비, 듀얼모니터 제공

for Growth
• 교육 수강 프로그램 지원 
• 세미나, 컨퍼런스 참가 지원 
• 도서구입비 지원

for Family
• 경조 휴가 및 경조금 지원
• 건강검진 본인 및 가족 할인
• 주택자금 대출이자 지원 
• 자녀 학자금 지원 
• 출산, 육아휴직 
• 사내 어린이집

for Rest
• 자유로운 연차 사용
• 생일 반차 제공
• 장기근속자 리프레시 휴가

at Office
• 5/9호선 여의도역 도보 3분 거리
• 커피&스낵바 운영
• 편히 쉴 수 있는 쾌적한 라운지 
",서울 영등포구 여의나루로 67 12층, IT 및 B2B 업계 실무 경력 3년 이상 서비스 제안 및 실행에 두려움이 없는 분 제안서 및 문서작성에 능숙하신 분 B2B 솔루션 관련 세일즈 경험이 있으신 분 뛰어난 커뮤니케이션 스킬을 보유한 분,1225
(주)플러그링크,계약직 (정규직 전환 가능),"['영업관리', '고객관리', '시장조사', '시장분석', '거래처발굴']","플러그링크(PLUGLINK)는
전기차 충전기의 플러그(Plug)로 사람과 세상을 연결(Link)하겠다는 뜻을 담고 있습니다.
빠르게 성장하는 전기차 시장에 발맞춰 에너지 금융으로 안정적인 인프라를 보급하고 있으며, 고객 경험을 실현하는 IT 기술로 전기차 충전을 사용자 경험 중심의 영역으로 확장하고 있습니다
플러그링크는 전기차에 충전기를 연결하는 행위를 넘어
충전을 기다리는 시간과 공간도 함께 고민하는 일상을 바꾸는 전기차 충전 플랫폼입니다
",전기차 충전인프라 구축 영업 및 고객관리영업대상  공동주택아파트 오피스텔 등 상업시설빌딩 지식산업센터 등신규 영업채널 및 거래처 발굴시장정보 수집 및 분석환경부 보조금 사업 수행,서류심사-1차인터뷰-2차인터뷰(생략가능)-최종합격,,"서울 강남구 강남대로 318, 2층 (역삼동,타워837빌딩)",B2C B2B 영업 관련 경력이 1년 이상 있으신 분MS Office Google Sheets 등 문서작성이 능숙하신 분운전면허를 소지하신 분유연한 커뮤니케이션 및 관계 구축 역량을 보유하신 분내외부 이해관계자와 문제 해결을 위한 협상능력을 보유하신 분투철한 목표의식을 지니신 분전기차 충전사업제조사 CPO 관련 경력이 있으신 분 아파트공동주택 대상 영업 경험이 있으신 분 제안서 작성 및 발표가 능숙하신 분 전기관련 자격증을 보유하신 분,1226
위시켓(주),정규직,"['마케팅', '영업', '컨설팅', '기술영업', '국내영업', 'B2B영업', '솔루션영업']","""세상이 일하는 방식을 더 행복하게 변화시키자.""
""우리는 IT 아웃소싱 시장의 거래 방식을 혁신하고 있습니다.""

IT 기술의 발달로 일하는 방식이 변화하고 있습니다.
우리가 맞이할 미래의 일하는 방식은 과거와 같지 않을 것입니다.

더 빠르고, 더 편리하고, 더 정확한 방법으로
소프트웨어를 거래할 수 있는 플랫폼을 만들고 있습니다.

위시켓은 플랫폼의 성장을 인정받아 누적 102억원 투자를 유치하였고, 스타트업 유니콘부터 대형기업, 중소기업, 공공기관, 예비창업자까지 다양한 규모의 기업이 위시켓을 통해 IT 프로젝트를 진행하고 있습니다.

위시켓은 계속해서 변화하는 사회와 시장의 문제를 앞장서서 해결하며 세상이 일하는 방식을 더 행복하게 변화 시키고자 합니다.


▶위시켓은 이렇게 일해요. 
▣ 위시켓은 [유저중심]으로 일을 하고 있습니다.
어떤 포지션의 일을 하던 상관없이, 모든 팀원들은 유저들과의 직/간접적 접점을 가지고 있습니다. 
유저들이 정말 원하는 것, 필요로 하는 것들을 만들기 위해 유저들의 생각이나 상황을 섣불리 추측하지 않습니다. 
경쟁사보다는 유저들의 실망을 두려워합니다.

▣ 위시켓은 [성장]을 위해 다양한 방면으로 끊임없이 노력합니다.
팀원 개개인의 현재 속도보다는 성장의 가속도를 중요하게 생각합니다.

▣ 위시켓은 [Why]를 중요하게 생각합니다.
본질에 집중하기 위해 항상 ""왜?""를 질문하고 답을 찾습니다.

▣ 위시켓은 [T자형 인재]를 지향합니다.
협업을 어려워하거나, 깊이가 부족한 주변 사람이 되는 것을 경계합니다. 능력 있는 개인이 해결할 수 있는 문제보다, 능력 있는 팀으로서 해결할 수 있는 문제가 더 크다고 생각합니다.
개인이 가지고 있는 버티컬한 능력만큼 협업을 중요하게 생각합니다.

▣ 위시켓은 [효과와 효율]을 중요하게 생각합니다.
효과가 있어야 효율이 의미가 있다고 믿습니다.
그래서 효과가 검증되기 전까지 수작업을 하기도 합니다.",   마케팅 및 기타 인바운드로 접수된 잠재고객 리드를 관리합니다   고객의 여정 단계에 맞게 위시켓 솔루션을 소개하거나 제안합니다   영업기회opportunity가 성공적으로 성사closing될 수 있게 타팀과 협업합니다,"서류전형 > 1차 인터뷰(실무진) > 2차 인터뷰(경영진) > 최종합격
-  이력서 및 자기소개서 자유 양식 형태로 작성하여, 채용 공고가 제공되는 플랫폼에서 지원해주세요.
-  서류 검토는 평균 1~3일 소요되며, 최대한 빠르고 꼼꼼하게 검토하여 안내 드립니다.
-  1차 실무진 인터뷰는 제출해주신 서류 기반으로 직무와 관련된 역량과 경험을 나누는 자리입니다. (대면 30~1시간 소요)
-  2차 경영진 인터뷰는 상호 간의 목표 및 방향 공유하며 서로의 가치관과 생각을 나누는 자리입니다. (대면 30~1시간 소요)
-  최종 합격 하시면 입사 일정 등을 협의합니다.","▶업무 환경
- 위시켓은 역세권에 위치해 있어서 편하게 이동할 수 있습니다. (서울 역삼역에서 도보 5분 거리) 
- ‘Django’라는 겁 많은 고양이와 ‘빠삐‘라는 발랄한 고양이가 사무실에서 함께 생활하고 있습니다.
- 사무실에 항상 음악이 켜져 있어 캐주얼한 분위기로 업무를 할 수 있습니다.
- 효율적으로 업무하기 위해 슬랙, flex, Trello, 그리팅, 컨플루언스(Confluence), 구글 이메일/캘린더/드라이브, Dropbox 등 다양한 툴을 사용하고 있습니다.

▶혜택 및 복지
위시켓은 세상의 일하는 방식뿐만 아니라, 임직원들이 행복하게 일할 수 있는 기업 문화와 업무 환경을 만드는 데에도 노력을 기울이고 있습니다. 
 - 6.5 hour : 하루에 6.5시간 근무 합니다. (10시부터 18시까지 근무)
 - Lunch time : 점심시간은 1시간 30분입니다. 여유롭게 식사하고, 개인시간을 가질 수 있습니다.
 - Meal : 팀원들의 밥값 부담을 해소하기 위해 점심/저녁 식사를 제공합니다.
 - Present : 생일을 맞이하는 팀원에게는 생일선물을, 설과 추석에는 명절 선물을 드립니다.
 - health care : 팀원들의 건강을 위해 종합 건강 검진을 지원해 드립니다.
 - Landing Program : 새로 합류한 팀원을 위한 랜딩제도와 버디제도를 운영하고 있습니다.
 - 무제한 간식 제공 : 다양한 간식과 카페보다 맛있는 커피를 무제한으로 드실 수 있습니다.
 - 성장을 위한 지원 : 개인 성장을 위한 도서, 교육, 세미나를 지원해 드립니다.
 - 생일 조기 퇴근 : 행복한 시간을 보낼 수 있도록 2시간 조기퇴근제도를 운영하고 있습니다.
 - 동호회 지원 : 팀원들과 더욱 친해지길 바라는 마음으로 사내 동호회 운영비를 지원해 드립니다.
 - 친목활동비 : 한 달에 한 번 유닛끼리 문화생활 등을 할 수 있도록 운영비를 지원해 드립니다.
 - 독서모임 : 같은 책을 읽고 자유롭게 생각을 공유하는 모임이 있습니다. (참여 시 상품권 지급)
 - Cheerup : 사소한 일이라도 서로 칭찬하고 응원하는 문화가 있습니다. (칭찬상품권 지급)",서울시 강남구 테헤란로 211 한국고등교육재단빌딩 3층,  고객 중심의 서비스 마인드를 갖추신 분  고객 팀원과의 커뮤니케이션 능력이 우수하신 분  주도적으로 업무를 진행하고 발전시킬 수 있으신 분  꼼꼼하고 책임감이 강하신 분  지속적 학습을 통해 팀과 함께 성장할 수 있는 분 이런 분이면 더 좋아요우대사항  SaaS 혹은 솔루션에 대한 세일즈 경험이 있으신 분  플랫폼 비즈니스 혹은 다른 산업에서 B2B 세일즈 경험이 있으신 분  컨설팅 기술영업 관련 경험이 있으신 분,1233
(주)제이원티엔엠,정규직,"['영업', '지원', '기술영업', '수주관리']",,설치지원  수주관리  기술영업,서류전형 > 면접전형 > 최종합격,"ㆍ외근 50%
ㆍ근속연수 1~4년
ㆍ연 1회 회식
ㆍ자율복장
ㆍ대부분 30-40대
ㆍ대부분 야근 없음","서울 금천구 가산디지털1로 233, 904호",기술지원 관련 유경험자공학계열TOEIC 700급점 이상해당직무 근무경험,1242
(주)메디트,정규직,"['기획', '서비스기획', '전략기획', '전략', '시장조사', '사업기획']","Fulfill Your Potential!

메디트(Medit)에서 글로벌 덴탈 플랫폼 서비스를 함께 선도해갈 인재를 찾습니다.

 
메디트는 임상 활용 가능한 3D 구강스캐너를 개발한 회사로, 글로벌 덴탈 시장에서 매년 2배씩 가파르게 성장하고 있습니다.

다양한 분야의 전문가들이 모여 뛰어난 기술력과 제품 경쟁력을 바탕으로 제품 출시 1년 만에 글로벌 업계 선두 주자로 자리 매김하며, 디지털 기술로 치과 의료 경험을 혁신해 나가고 있습니다. 강력한 디바이스를 바탕으로 축적된 3D 데이터를 AI, 머신러닝을 접목하여 유용하고 사용하기 편리한 어플리케이션을 개발하고 있으며, 전세계 치과와 기공소의 디지털 혁신을 돕는 최상의 소프트웨어 개발을 하고 있습니다.

 
메디트에는 세계를 무대로 성장하고 싶은 적극적이고 진취적인 인재들이 모여 자율과 책임의 문화에서 일하고 있습니다.

최고의 동료들과 함께 성장하고, 디지털 헬스케어 혁신을 함께 만들어 갈 인재분들을 모십니다.", 치과시장 동향 분석 서비스 전략 수립 및 신규 사업 발굴 플랫폼 사업 운영 및 서비스 확장,"해당 포지션은 상시 채용 중으로 모집 완료 시 포지션이 마감될 수 있습니다.
제출해 주신 내용 중 허위 사실이 있을 경우 채용이 취소될 수 있습니다.","[복지]
1. 근무 환경
- 유연근무제
- 수평적인 호칭 체계
- 최고 사양의 업무 장비/ 소프트웨어
- 웰컴키트 제공
- 무제한 간식 자판기
- 캐쥬얼 복장

2. 역량 향상과 즐거운 복지
- 해외 지사 파견
- 매월 개인 소장용 도서 지원
- 3년, 5년, 7년, 10년 이후 매 5년 근속 축하 상품권 및 휴가 제공

3. 건강과 행복
- 생일 반차 및 상품권 제공
- 명절 상품권 제공
- 다양한 경조사에 대한 지원
- 종합 건강 검진
- 임직원 상해 보험 가입
- 심리상담(EAP) 지원
*근무지에 따라 제공되는 베네핏은 상이할 수 있습니다.
",서울특별시 영등포구 양평로25길 8, 영어 회화 능통 대학교 졸업 이상 관련 경력 3년 이상 치과 또는 의료 산업의 이해와 경험 보유자 해외출장에 결격사유가 없는 자 구강 보철 분야 또는 의료기기 분야에서의 경험 치과 관련 경력 또는 면허,2674
(주)브라이언에잇,정규직,"['기획', '사업관리', '전략기획', 'ae', '사업기획', '캠페인']","Branding Contents Creative Company, BRYAN8에서 캠페인 플래너를 구합니다
브라이언에잇은 홈플러스＜빼는 것이 플러스다＞, 피키캐스트＜우주의 얕은 지식＞ 캠페인을 진행하고, ＜결국, 컨셉＞, ＜요즘애들에게 팝니다＞의 저자 김동욱 Concept Director가 설립한 크리에이티브 에이전시입니다.
BRYAN8은 LG전자, CASS, 종근당 건강, 빙그레 등 대형 광고주들과 다양한 캠페인을 진행하고 있으며, 영상중심 IMC캠페인부터 예능 컨텐츠, 커뮤니티 마케팅, 브랜드 전용서체 개발 등 크리에이티브의 형태를 가리지 않습니다. 가장 Up-to-Date한, 때로는 새로운 지평을 여는 브랜드 캠페인을 진행해보고 싶은 분이라면 저희와 꼭 합류하시길 기대하겠습니다.
BRYAN8의 캠페인 플래닝 팀은 소비자에게 통하는 캠페인을 하고싶어 하는 기획자, 크리에이티브에도 전략이 잘 담겨야 한다고 믿는 기획자를 기다리고 있습니다.

브라이언에잇 Article

-""사랑받는 브랜드를 위한 크리에이티브 솔루션을 제공하겠습니다"" 김동욱 브라이언에잇 대표https://www.madtimes.org/news/articleView.html?idxno=13235

-다들 중요하다는 커뮤니티 마케팅, 성공하기 위해 필요한 것은? ＜빙그레 더:단백 캠페인 스토리＞
https://blog.naver.com/bryan08/222832688272

-힐링 여행을 떠나는 LG전자 안마의자 ‘힐링미’ 타히티 ""타히티, 힐링트립"" 론칭 캠페인

https://www.madtimes.org/news/articleView.html?idxno=13452",종근당 건강 락토핏 연간 대행 담당LG전자 캠페인 기획운영 비정기캠페인 컨셉 및 전략 방향성 도출,,"지원금 : 통신비 지원
급여제도 : 인센티브제, 4대 보험
선물 : 생일선물, 명절선물
야근시 저녁 및 택시비지원
간식 및 음료제공(차, 커피)",서울 중구 소공로 96,경력  경력 2년  5년동종업계 경험 보유자매체 불문 IMC 캠페인 담당 경험이 있으신 분주도 서포트 무관지원시 포트폴리오 필수매체운영 부분의 기본적인 지식이 있으신 분다양한 유관 파트너매체사 프로덕션 디자인 에이전시 등와 원활한 커뮤니케이션이 가능하신 분경쟁PT 참여 및 제안서 작성 경험이 있으신 분,2699
(주)코마스인터렉티브,정규직,"['마케팅', '디지털마케팅', '퍼포먼스마케팅', '온라인마케팅', 'IMC']","당사는 1994년 설립된 아래와 같은 설립모토로 운용하고 있는 온라인광고 전문 대행사입니다.
“온라인과 오프라인 그 이상을 넘어 모든 접점에서 고객이 원하는 최상의 가치를 실현합니다.”

1.	코마스인터렉티브는 배려와 상호 신뢰를 바탕으로 클라이언트가 원하는 최상의 가치를 실현합니다.
2.	코마스인터렉티브는 광고분야 전문가들이 크라이언트 의뢰를 전략적으로 분석합니다.
3.	코마스인터렉티브가 보유중인 독자적인 솔루션을 기반으로 퍼포먼스마케팅분야에서 최고의 효율을 내고 있습니다.
4.	강력한 크리에이티브를 기반으로 브랜딩을 아우르는 통합디지털 마케팅을 진행하고 있습니다.
5.	마케팅의 모든 것은 우리에게 있고 선택은 여러분에 있습니다.

당사는 최근 이엠넷의  당사 인수를 계기로 한단계 더 발전하고 자 디지털광고분야의 인재들을 영입하고 있습니다.",IMC 및 디지털 마케팅기획 및 캠페인 운영관리디지털 미디어 전략 기획 및 운영관리데이터 분석 및 인사이트 도출제안서 작성전략기획컨셉도출매체제안,서류검토 -> 1차면접 -> 최종합격,"조식지원(김밥)
점심시간 1시간 30분
도서구입비 지원
회식비 지원
택시비 지원
통신비 지원
생일, 결혼기념일, 창립기념일, 명절 상품권지급
리조트 회원권 이용
경조사비 지원
장기근속포상(3년, 5년, 10년)
자녀학자금 지원
우수사원 포상금 지급(년1회)
유연근무제(출퇴근 시간 자유)
보상휴가제
대체휴무제
연차 자유사용","서울 강남구 학동로 311, 6층 (논현동,미성빌딩)",학력  대졸 이상 2 3년경력         2년 10년 매니저급         10년이상 팀장급관련 자격증소지자비딩 제안서 작성 경험자대형광고주 경험자,3999
